words,links,capital_words,spam_word_count,is_spam
219,1,3,1,0
466,0,28,9,1
819,3,28,0,1
254,0,3,1,0
240,4,0,1,1
20,1,2,2,0
291,1,2,4,0
799,2,5,8,1
123,0,0,2,0
247,2,3,2,0
948,8,2,8,1
446,0,4,2,0
720,0,30,3,1
280,1,0,1,0
187,2,3,0,0
34,1,2,0,0
506,4,12,7,1
161,1,3,1,0
34,2,6,2,0
120,5,2,1,0
259,4,0,1,0
295,4,3,0,0
613,2,10,9,1
418,0,2,2,0
173,5,1,2,0
824,2,4,3,1
138,0,10,9,1
577,4,27,9,1
434,4,8,7,1
257,2,1,0,0
200,1,5,1,0
182,4,7,8,1
417,5,13,8,1
127,2,30,4,1
260,3,2,1,0
271,2,2,0,0
835,10,4,8,1
114,7,5,7,1
293,6,27,10,1
971,10,19,4,1
25,0,2,0,0
235,10,5,2,1
935,5,18,9,1
589,10,8,8,1
56,9,11,8,1
937,8,7,8,1
180,1,2,0,0
101,3,0,1,1
183,3,4,3,1
659,2,27,3,1
429,4,21,9,1
641,10,14,3,1
205,7,13,7,1
79,4,0,2,0
197,0,2,0,0
252,1,2,2,0
898,8,27,8,1
210,2,3,4,0
671,6,18,0,1
270,2,5,2,1
260,1,1,0,0
378,2,2,1,0
735,7,28,4,1
983,5,4,7,1
266,3,15,6,1
260,0,3,5,0
431,6,20,10,1
238,0,2,2,0
242,2,2,1,0
60,6,7,8,1
83,1,1,0,0
954,9,8,6,1
153,5,0,0,0
259,3,3,3,0
765,6,9,7,1
430,1,2,0,0
37,0,2,0,0
28,1,2,2,0
38,2,6,1,0
421,10,9,3,1
96,2,3,2,0
21,0,1,1,0
100,2,0,2,0
615,2,14,4,1
193,1,3,1,0
79,0,2,0,0
808,6,14,3,1
603,10,11,3,1
364,0,1,0,0
533,4,5,5,1
116,10,5,0,1
622,7,9,1,1
139,1,0,3,0
172,2,8,4,0
502,6,4,5,1
344,8,14,4,1
86,2,1,2,0
211,1,0,5,0
131,2,27,10,1
117,2,24,5,1
396,5,7,9,1
371,2,9,5,1
496,4,4,0,1
100,1,0,1,0
265,2,1,2,0
136,9,10,3,1
165,1,10,1,0
195,9,0,8,1
705,2,5,10,1
490,1,2,6,0
429,0,3,2,0
187,8,15,6,1
169,0,2,3,0
25,1,2,1,0
176,3,12,3,1
109,2,1,2,0
110,1,2,5,0
229,5,10,0,0
95,8,13,3,1
262,5,6,0,1
761,2,2,6,1
530,10,21,7,1
21,2,3,0,0
145,3,26,3,1
432,9,29,10,1
161,0,1,2,0
164,2,4,2,0
82,3,1,10,1
417,4,4,8,1
182,2,5,4,0
958,2,2,4,1
186,10,28,6,1
60,1,2,2,0
967,3,28,3,1
242,3,1,6,0
195,9,14,0,1
406,6,13,1,1
89,2,3,1,0
602,8,28,6,1
568,8,20,0,1
178,0,0,1,0
123,7,3,3,1
732,10,18,8,1
955,8,16,10,1
460,2,9,8,1
806,10,23,7,1
170,8,23,4,1
153,0,3,1,0
897,9,23,10,1
281,1,4,6,0
250,2,3,1,0
1000,0,30,6,1
644,8,15,4,1
159,0,23,0,1
574,9,1,5,1
224,1,3,0,0
291,1,3,1,0
480,2,3,0,0
326,3,10,5,0
552,0,13,4,1
283,2,3,1,0
684,0,19,2,1
267,1,4,1,0
123,3,4,7,1
53,1,3,2,0
220,2,2,1,0
897,4,8,3,1
504,3,0,10,1
541,7,1,3,1
239,2,26,10,1
493,3,0,2,0
269,2,3,2,0
177,2,1,0,0
60,1,3,0,0
188,2,22,6,1
137,2,0,0,0
42,2,3,1,0
43,0,1,1,0
157,2,16,10,1
323,9,20,7,1
171,6,14,10,1
292,5,2,1,0
181,1,4,3,0
201,0,7,2,0
128,4,2,5,0
682,3,13,10,1
667,1,1,7,1
176,4,5,5,1
148,2,1,1,0
202,3,8,6,1
911,0,5,8,1
64,9,24,2,1
32,4,3,2,0
220,5,3,1,0
699,7,7,6,1
936,3,29,4,1
497,3,5,7,1
287,2,0,0,0
856,3,1,6,1
149,5,21,9,1
36,0,3,2,0
452,6,12,6,1
165,0,1,1,0
596,9,29,7,1
141,6,1,0,1
878,2,4,7,1
223,0,0,0,0
216,10,24,3,1
374,4,18,8,1
272,5,20,5,1
110,5,0,1,0
172,2,0,4,1
528,2,12,0,1
74,2,3,4,0
130,2,3,0,0
183,8,13,9,1
45,0,4,1,0
67,0,6,5,0
501,7,7,5,1
225,4,10,2,0
113,4,0,0,0
234,1,0,5,0
154,5,0,2,0
958,8,11,2,1
92,1,0,1,0
579,3,9,7,1
238,0,10,0,0
218,1,6,2,0
409,0,3,3,0
688,7,29,3,1
249,0,2,4,0
878,7,25,3,1
289,2,3,0,0
212,2,0,6,0
134,2,16,2,1
260,0,0,0,0
294,0,2,6,0
557,2,25,1,1
336,0,22,3,1
178,0,8,2,0
510,4,21,9,1
706,4,6,7,1
836,1,24,8,1
972,8,1,8,1
240,1,2,1,0
371,3,8,6,0
127,0,4,0,0
645,6,3,8,1
277,1,10,0,0
116,3,30,3,1
955,8,30,7,1
449,5,26,4,1
161,8,26,9,1
706,6,7,4,1
30,0,1,1,0
58,0,2,2,0
151,9,23,6,1
96,7,5,10,1
247,0,0,0,0
94,1,2,2,0
196,0,9,6,1
351,1,0,0,0
965,10,10,8,1
538,2,16,0,1
105,2,8,0,0
178,2,0,2,0
249,5,2,2,0
701,4,7,7,1
224,0,3,2,0
999,3,2,9,1
539,4,4,3,1
254,0,1,1,0
255,1,1,0,0
142,3,26,9,1
174,4,0,1,0
51,1,2,0,0
310,9,16,1,1
345,3,3,1,0
233,1,0,1,0
531,3,17,7,1
274,2,0,1,0
98,2,2,0,0
623,3,15,10,1
217,7,23,7,1
156,2,2,1,0
188,1,3,0,0
217,0,1,1,0
194,10,27,5,1
446,0,2,0,0
252,2,2,2,0
275,1,1,2,0
425,6,2,5,1
406,0,1,0,0
50,2,23,7,1
775,5,12,2,1
50,2,6,8,1
88,9,27,6,1
93,4,0,6,0
25,2,0,2,0
178,0,9,3,0
474,8,23,6,1
982,6,8,8,1
249,7,6,3,1
158,1,10,1,0
297,1,3,2,0
163,2,25,3,1
214,4,19,9,1
868,7,3,9,1
166,2,0,1,0
870,7,1,10,1
61,1,2,2,0
228,1,2,2,0
379,0,1,0,0
735,10,29,1,1
124,2,0,8,1
127,5,23,10,1
116,1,11,0,1
168,2,1,4,0
768,7,19,3,1
97,7,4,6,1
526,2,24,6,1
604,5,23,8,1
70,2,3,0,0
148,0,1,6,0
270,2,2,2,0
97,2,3,0,0
401,0,1,0,0
259,1,7,2,0
876,7,0,8,1
100,2,10,2,1
341,4,8,2,0
349,7,4,1,1
148,2,9,5,1
427,3,3,0,0
992,2,7,1,1
301,1,9,2,0
259,2,7,7,1
166,1,2,0,0
139,5,11,5,1
243,8,30,7,1
90,7,17,8,1
520,3,24,0,1
190,3,26,2,1
162,3,3,5,0
229,1,3,2,0
766,10,11,10,1
237,0,3,2,0
31,0,8,4,0
526,8,23,9,1
89,2,2,2,0
253,2,6,2,0
177,0,3,4,0
73,9,5,0,1
463,8,7,8,1
145,2,7,2,0
22,0,3,3,0
25,5,2,1,0
389,2,18,5,1
33,1,2,1,0
633,6,20,6,1
396,1,15,0,1
159,1,2,1,0
499,4,0,1,1
314,0,2,0,0
359,9,2,6,1
166,2,7,1,0
57,2,0,4,0
35,5,3,1,0
616,7,5,4,1
946,7,16,10,1
143,9,27,4,1
427,3,16,6,1
331,2,2,4,0
176,8,24,1,1
289,0,0,0,0
749,1,4,3,1
633,8,19,7,1
83,4,2,1,0
158,9,12,7,1
759,8,11,8,1
104,3,3,8,1
124,2,29,5,1
152,5,23,6,1
288,5,1,2,0
451,2,19,3,1
138,6,26,0,1
349,8,7,2,1
137,1,3,0,0
716,3,28,1,1
973,9,27,9,1
502,10,27,6,1
898,2,3,7,1
996,4,19,3,1
393,8,10,3,1
234,4,29,5,1
719,4,5,5,1
223,1,6,3,0
268,0,2,1,0
138,5,2,1,0
270,1,3,0,0
182,2,5,2,0
177,0,0,0,0
965,3,14,8,1
129,1,1,2,0
440,3,25,0,1
190,1,1,1,0
174,5,6,2,0
710,0,26,4,1
389,1,27,2,1
185,0,3,1,0
252,0,2,4,0
246,1,2,4,0
171,0,3,1,0
115,1,2,0,0
647,2,11,1,1
168,0,0,1,0
717,5,30,4,1
47,3,1,5,0
78,2,3,2,0
866,7,5,8,1
219,1,8,0,0
231,0,4,2,0
147,4,6,3,1
648,7,21,4,1
385,2,1,2,0
101,1,2,2,0
863,7,17,5,1
732,2,13,3,1
560,3,23,9,1
156,2,11,10,1
731,10,3,0,1
275,8,1,6,1
986,5,27,5,1
223,0,0,1,0
856,10,13,0,1
158,3,0,1,0
153,4,1,1,0
753,8,11,8,1
49,0,0,0,0
220,0,2,2,0
733,7,9,9,1
425,1,2,0,0
136,2,0,5,0
97,2,6,8,1
935,5,28,5,1
243,0,3,2,0
167,2,17,6,1
92,0,3,0,0
129,3,30,1,1
193,2,3,1,0
195,1,2,2,0
62,1,1,2,0
129,7,18,2,1
935,9,17,10,1
452,4,20,5,1
90,2,1,1,0
170,2,1,2,0
170,1,2,0,0
776,3,30,3,1
198,1,7,3,0
172,9,2,6,1
445,1,2,1,0
203,2,24,2,1
372,1,2,2,0
820,3,20,6,1
185,0,2,2,0
682,4,16,3,1
589,2,3,10,1
137,2,16,8,1
304,0,4,1,0
325,1,0,2,0
638,9,1,6,1
170,2,11,10,1
257,4,3,1,0
375,3,23,9,1
273,2,26,6,1
623,4,25,3,1
92,2,5,1,1
170,10,26,6,1
65,6,16,10,1
280,2,3,2,0
231,4,6,10,1
74,1,0,2,0
400,0,10,0,0
377,1,11,0,1
62,0,1,1,0
161,3,3,0,0
295,0,1,0,0
104,1,3,1,0
893,9,6,10,1
752,6,24,3,1
65,7,28,10,1
142,5,4,2,1
72,2,17,1,1
114,4,6,7,1
292,0,0,5,0
312,3,3,2,0
313,1,2,1,0
694,1,29,5,1
420,0,11,4,1
130,1,3,2,0
269,3,0,1,0
125,2,3,6,0
151,1,0,6,0
676,5,24,5,1
116,2,3,1,0
269,2,0,5,0
92,1,1,1,0
816,7,20,10,1
129,2,0,1,0
76,1,3,2,0
301,1,21,3,1
123,0,3,0,0
206,4,20,6,1
850,2,7,9,1
843,5,8,5,1
208,0,0,1,0
959,9,28,10,1
110,5,0,2,0
206,0,2,2,0
757,7,19,6,1
208,2,1,1,0
333,2,0,2,0
92,1,3,1,0
194,2,3,3,0
672,5,13,10,1
573,10,30,3,1
391,4,22,4,1
388,3,21,9,1
89,2,1,0,0
68,8,2,8,1
39,2,5,1,0
482,2,1,2,0
103,10,5,7,1
118,9,13,10,1
795,5,14,1,1
108,6,9,2,1
70,7,1,8,1
48,2,9,1,0
285,1,2,1,0
788,7,25,10,1
457,6,26,10,1
79,4,25,6,1
114,7,11,3,1
505,10,3,6,1
169,0,0,2,0
134,8,21,1,1
859,1,28,5,1
737,2,22,1,1
230,0,3,2,0
118,1,7,0,0
167,0,0,1,0
211,0,18,0,1
193,7,18,1,1
391,2,2,6,0
266,1,3,0,0
414,3,14,3,1
318,2,19,10,1
145,1,2,0,0
872,5,0,10,1
67,2,0,0,0
747,8,18,5,1
137,10,2,2,1
146,0,2,1,0
359,0,0,0,1
299,0,2,0,0
131,1,0,1,0
923,6,19,9,1
237,1,0,1,0
132,3,8,5,1
177,1,1,2,0
265,2,6,6,0
226,0,2,2,0
493,2,5,1,0
227,2,0,2,0
125,2,12,3,1
943,10,24,9,1
89,4,2,2,0
255,1,2,0,0
240,5,19,9,1
971,0,13,3,1
594,6,19,3,1
133,2,1,0,1
78,0,7,1,0
232,1,0,1,0
636,7,21,7,1
65,1,2,1,0
147,0,0,1,0
127,2,0,4,0
532,7,25,4,1
49,0,2,4,0
335,2,1,1,0
73,8,11,9,1
268,2,2,1,0
298,2,1,6,0
460,2,13,8,1
195,0,7,1,0
294,4,15,9,1
297,2,1,2,0
238,1,0,0,0
247,5,2,1,0
28,0,1,0,0
459,1,0,2,0
180,5,10,0,0
145,2,3,0,0
125,2,6,0,0
208,0,3,4,0
198,3,19,4,1
234,2,2,1,0
275,10,28,3,1
273,1,1,2,0
71,6,14,5,1
731,4,12,10,1
187,4,9,5,1
414,8,11,10,1
133,2,0,0,0
977,3,5,6,1
233,4,8,2,0
694,7,25,10,1
740,8,14,6,1
70,9,17,1,1
590,2,30,8,1
363,1,1,2,0
777,2,5,4,1
200,2,3,0,0
125,1,1,0,0
119,0,27,7,1
204,1,0,6,0
181,2,12,2,1
296,0,1,1,0
489,1,4,5,1
154,2,1,2,0
107,2,2,1,0
106,1,1,0,0
581,4,0,1,1
291,1,1,2,0
240,0,2,1,0
87,0,1,0,0
434,0,1,4,0
858,5,12,3,1
255,2,26,1,1
214,2,21,10,1
77,2,0,0,0
216,0,2,2,0
155,2,25,8,1
122,1,1,1,0
213,1,3,0,0
124,9,7,5,1
546,4,7,4,1
412,6,6,4,1
21,1,7,3,0
359,0,1,6,1
832,6,25,1,1
153,2,4,0,0
246,5,9,3,1
262,2,3,2,0
199,2,14,6,1
112,1,2,2,0
157,2,13,5,1
48,0,0,1,0
113,0,3,2,0
428,3,25,0,1
331,3,8,10,1
81,0,9,1,0
101,5,0,8,1
296,0,0,5,0
153,3,30,3,1
91,1,9,5,0
205,1,0,5,0
266,0,0,3,0
718,2,4,8,1
109,1,1,0,0
455,2,3,1,0
204,1,2,0,0
185,1,2,2,0
114,10,28,9,1
64,3,27,3,1
155,2,1,3,0
171,4,1,6,1
149,2,0,1,0
424,10,1,7,1
80,1,3,2,0
36,2,2,6,0
165,4,3,1,0
241,2,3,1,0
59,1,0,1,0
157,1,1,1,0
393,7,20,4,1
54,7,14,4,1
899,2,21,7,1
306,5,8,0,0
891,8,5,2,1
119,0,3,1,0
192,7,17,9,1
351,10,7,4,1
459,2,0,1,0
210,0,0,4,0
618,6,20,10,1
830,5,29,5,1
292,0,4,0,0
412,1,2,2,0
131,0,10,4,1
231,4,3,2,0
638,7,25,9,1
754,2,12,5,1
126,2,0,2,0
827,1,26,10,1
187,5,23,10,1
395,0,0,3,0
224,10,29,10,1
399,1,2,0,0
676,4,9,4,1
461,1,2,0,0
158,2,1,2,0
331,2,1,1,0
735,5,20,5,1
721,3,27,3,1
121,2,10,3,1
287,1,3,1,0
117,1,3,2,0
170,2,2,2,0
337,1,4,3,1
282,4,26,6,1
245,1,5,5,1
343,4,13,7,1
127,1,1,1,0
191,2,0,2,0
186,0,2,1,0
277,2,0,5,0
40,3,9,0,0
479,2,2,5,0
480,3,11,1,1
100,2,2,1,0
246,1,7,0,0
180,1,1,2,0
799,9,1,8,1
139,5,0,1,0
383,4,15,5,1
259,2,0,2,0
39,0,3,1,0
205,2,1,2,0
383,0,19,4,1
51,2,24,3,1
288,3,6,1,0
647,7,22,9,1
196,0,1,0,0
860,5,16,6,1
869,5,24,3,1
288,5,0,1,0
552,4,23,9,1
244,5,7,3,1
701,1,23,7,1
620,6,8,0,1
277,2,1,1,0
822,2,10,8,1
723,6,18,3,1
528,4,17,7,1
246,4,1,0,0
317,0,1,1,0
278,4,0,0,0
498,7,10,5,1
99,0,0,2,0
205,1,1,1,0
560,5,0,4,1
121,1,3,6,0
940,2,9,2,1
40,2,3,2,0
247,0,1,4,0
223,0,6,0,0
243,2,2,4,0
114,0,2,0,0
170,5,21,6,1
44,2,2,0,0
848,8,0,3,1
79,0,8,6,0
492,10,5,3,1
92,5,27,10,1
106,7,11,1,1
150,1,1,0,0
356,10,17,4,1
965,1,11,6,1
338,2,2,0,0
331,0,3,2,0
96,2,0,5,0
451,10,30,6,1
178,2,5,3,1
649,9,5,9,1
30,0,1,1,0
456,5,13,2,1
125,6,24,5,1
742,7,6,3,1
230,2,1,1,0
343,0,30,10,1
613,8,12,8,1
81,6,3,2,1
175,1,1,0,0
869,3,26,6,1
577,6,1,5,1
107,0,2,0,0
897,8,25,2,1
141,10,29,5,1
120,7,5,2,1
245,2,2,2,0
641,1,8,7,1
760,2,24,3,1
960,1,5,3,1
750,6,21,2,1
176,1,6,2,0
148,3,5,1,0
40,1,5,0,0
195,0,3,2,0
279,2,2,5,0
696,6,28,8,1
498,10,17,7,1
176,1,1,2,0
187,4,18,3,1
927,1,21,5,1
738,3,2,8,1
114,1,20,3,1
290,0,1,1,0
253,2,1,1,0
195,3,12,9,1
426,0,2,1,0
56,2,2,1,0
221,1,4,1,0
653,9,30,9,1
231,1,3,4,0
333,1,5,10,1
275,0,1,3,0
154,7,21,8,1
266,2,5,4,0
162,5,5,9,1
103,1,3,2,0
501,2,9,8,1
198,3,22,10,1
438,7,5,6,1
135,2,2,1,0
133,3,20,1,1
211,1,9,0,0
192,3,16,3,1
737,2,4,7,1
761,3,8,4,1
208,4,1,2,0
993,3,29,3,1
278,0,2,1,0
832,4,25,7,1
29,4,3,5,0
483,6,21,10,1
296,2,1,1,0
203,0,7,2,0
368,1,13,4,1
87,0,3,2,0
200,1,0,0,0
179,2,3,0,0
249,1,3,1,0
910,8,4,1,1
272,1,0,0,0
189,4,2,0,0
80,3,13,6,1
125,2,0,2,0
196,7,19,1,1
280,0,2,6,0
116,1,5,0,0
152,2,1,2,0
55,7,22,10,1
904,3,5,2,1
63,6,9,8,1
29,4,2,0,0
589,8,20,6,1
447,2,0,0,0
78,1,3,1,0
405,0,5,2,1
599,4,15,10,1
328,0,12,6,1
106,1,0,0,0
833,1,19,7,1
841,2,28,8,1
183,2,0,1,0
524,2,11,4,1
595,3,30,6,1
213,7,7,2,1
222,2,0,5,0
68,1,1,6,0
98,8,16,2,1
182,2,0,5,0
795,4,9,6,1
226,2,3,2,0
137,0,3,1,0
166,0,9,0,0
159,0,2,1,0
233,1,2,0,0
672,10,7,10,1
565,7,15,5,1
146,2,10,2,0
910,9,9,5,1
172,1,2,4,0
944,10,15,6,1
51,0,2,0,0
250,2,0,1,0
30,1,2,2,0
107,6,14,3,1
299,8,0,10,1
638,6,21,1,1
465,6,12,6,1
118,3,23,1,1
546,10,10,3,1
640,2,29,7,1
275,2,2,2,0
269,4,1,2,0
157,2,2,8,1
730,8,20,4,1
460,4,0,1,0
622,9,22,7,1
346,0,2,9,1
177,10,6,3,1
129,1,3,4,0
370,0,2,2,0
549,1,18,7,1
693,9,26,2,1
577,9,11,8,1
283,2,0,1,0
284,1,1,0,0
213,2,10,4,0
514,2,11,3,1
301,8,23,10,1
51,3,3,0,0
513,4,4,1,1
171,3,15,6,1
376,0,7,5,1
616,2,13,6,1
314,5,15,7,1
218,2,2,0,0
323,3,25,3,1
167,3,29,3,1
133,0,1,0,0
87,1,3,1,0
238,1,6,2,0
404,5,10,1,1
172,3,2,2,0
62,1,18,2,1
308,3,19,3,1
290,2,2,2,0
218,2,5,0,0
758,7,28,0,1
97,0,3,0,0
530,10,11,9,1
881,5,26,4,1
183,3,30,0,1
263,1,3,1,0
239,0,1,2,0
730,3,17,10,1
534,7,21,6,1
201,0,1,0,0
129,3,14,3,1
565,7,20,1,1
376,8,19,8,1
182,2,15,8,1
489,6,15,6,1
284,0,3,6,0
770,0,15,7,1
211,1,2,1,0
528,9,16,9,1
158,2,8,3,1
207,2,2,2,0
217,1,2,1,0
59,2,0,0,0
180,3,30,5,1
749,2,0,4,1
592,9,26,6,1
109,1,1,1,0
210,0,10,0,0
242,1,0,0,0
646,4,5,7,1
757,9,30,3,1
56,0,3,2,0
111,2,0,2,0
188,0,0,2,0
270,1,3,4,0
46,1,3,6,0
126,1,2,1,0
129,9,5,3,1
504,2,29,7,1
214,0,3,1,0
839,6,0,8,1
226,2,0,1,0
49,0,3,2,0
38,1,0,1,0
760,10,9,7,1
339,2,1,2,0
446,1,0,2,0
168,4,2,1,0
429,2,1,4,0
167,2,0,1,0
78,5,3,2,0
281,1,1,2,0
295,0,2,1,0
330,10,10,5,1
451,2,5,3,1
176,0,11,1,1
149,3,1,2,0
189,1,2,1,0
178,2,1,2,0
364,10,11,1,1
205,1,2,0,0
640,4,2,0,1
53,0,2,4,0
772,4,14,2,1
774,2,14,7,1
422,5,1,0,0
98,6,3,6,1
750,3,18,3,1
170,5,1,0,0
798,5,12,7,1
134,9,2,8,1
208,1,5,2,0
106,5,3,1,0
917,2,17,3,1
629,9,21,1,1
969,4,26,6,1
249,0,3,3,0
193,2,2,1,0
223,1,0,5,0
715,6,26,5,1
121,0,17,4,1
438,2,3,2,0
292,2,2,2,0
373,4,1,3,0
890,10,28,8,1
153,2,0,4,0
180,8,30,9,1
157,1,2,1,0
867,1,3,4,1
92,1,2,0,0
580,3,26,3,1
42,2,3,2,0
361,9,25,9,1
639,3,17,3,1
937,3,20,4,1
111,1,20,6,1
161,3,9,3,1
109,2,10,0,1
640,5,4,5,1
129,2,21,7,1
722,10,17,1,1
226,4,8,9,1
261,0,0,4,0
112,3,12,3,1
197,0,0,1,0
420,2,0,1,0
189,2,3,1,0
272,1,3,0,0
232,1,2,0,0
78,8,17,2,1
459,7,27,3,1
83,2,16,3,1
62,7,21,7,1
151,2,3,6,0
233,0,0,1,0
118,1,1,2,0
207,0,3,1,0
21,0,0,5,0
938,5,30,7,1
167,0,2,1,0
496,2,3,0,0
68,1,1,2,0
419,8,8,6,1
206,0,0,0,0
315,3,21,3,1
251,3,27,6,1
515,7,29,2,1
375,5,24,1,1
225,3,2,1,0
802,2,15,3,1
200,1,1,1,0
184,6,13,3,1
988,8,16,2,1
983,3,14,5,1
216,2,3,2,0
60,1,0,0,0
63,0,17,4,1
242,0,1,1,0
125,1,27,4,1
309,3,3,10,1
269,3,0,2,0
56,10,2,4,1
240,1,1,1,0
186,2,1,1,0
263,0,3,2,0
446,8,3,10,1
168,2,1,2,0
35,0,1,1,0
72,9,25,3,1
213,0,4,0,0
393,5,8,10,1
359,9,7,8,1
838,2,6,9,1
784,2,5,10,1
592,7,3,3,1
314,2,8,0,0
517,6,6,7,1
105,10,15,3,1
242,0,0,2,0
75,3,0,1,0
83,2,1,0,0
912,9,5,9,1
20,3,2,1,0
496,2,2,2,0
214,2,0,6,0
21,0,1,1,0
27,4,2,4,0
232,1,2,2,0
889,2,24,10,1
150,5,1,7,1
84,2,0,3,1
180,7,21,4,1
234,1,0,2,0
293,2,1,1,0
241,0,0,3,0
180,1,4,1,0
91,5,4,4,1
121,7,5,8,1
142,0,0,2,0
69,0,2,2,0
679,10,7,6,1
264,1,4,1,0
229,0,1,2,0
264,2,1,0,0
193,0,0,2,0
52,0,2,2,0
431,1,18,10,1
84,1,14,10,1
169,1,0,6,0
194,8,5,8,1
748,10,17,1,1
278,2,7,7,1
217,2,3,2,0
652,3,26,1,1
159,2,9,2,0
338,2,1,2,0
74,2,0,8,1
484,9,7,10,1
282,4,26,6,1
212,4,1,10,1
507,0,21,8,1
261,1,3,0,0
213,2,8,1,0
202,0,3,2,0
560,1,3,8,1
333,4,3,3,1
220,3,13,3,1
106,0,1,3,0
909,1,2,3,1
900,7,17,5,1
246,2,2,2,0
596,7,5,8,1
573,2,27,5,1
64,9,21,5,1
219,1,2,2,0
57,1,2,4,0
76,1,2,0,0
46,0,7,0,0
254,4,18,9,1
208,0,3,3,0
165,0,3,1,0
289,0,1,1,0
282,1,1,0,0
146,5,10,5,0
151,0,0,2,0
99,2,16,9,1
534,1,29,3,1
207,4,3,0,0
89,5,15,9,1
21,0,2,4,0
174,0,24,4,1
130,6,23,4,1
147,0,2,0,0
830,8,5,10,1
274,0,3,1,0
113,0,6,6,0
706,7,27,7,1
36,2,1,0,0
157,3,15,3,1
141,1,0,3,1
232,0,3,1,0
400,3,22,10,1
688,8,6,1,1
185,0,0,0,0
184,4,1,2,0
647,2,5,1,1
859,8,15,0,1
630,5,5,4,1
994,9,20,1,1
291,3,0,6,0
89,4,26,4,1
888,7,9,8,1
531,4,10,1,1
275,2,0,0,0
805,3,30,0,1
738,7,22,8,1
153,5,2,6,1
39,2,3,2,0
159,0,1,2,0
166,9,29,7,1
181,2,1,2,0
428,9,5,2,1
83,1,0,0,0
125,8,28,10,1
35,2,6,4,0
689,10,27,9,1
164,2,0,0,0
67,8,23,7,1
229,2,3,0,0
871,8,6,6,1
209,0,2,2,0
248,0,5,4,0
100,7,20,5,1
115,4,10,0,0
935,4,10,8,1
297,2,0,1,0
167,2,12,7,1
214,5,29,4,1
184,0,18,5,1
938,9,6,3,1
151,10,8,1,1
508,10,25,5,1
348,6,1,7,1
435,2,0,1,0
256,6,7,2,1
694,5,24,4,1
274,1,3,1,0
187,4,10,3,0
181,2,0,2,0
297,0,1,2,0
26,0,6,3,0
371,0,1,3,1
374,10,30,5,1
215,2,0,1,0
354,5,6,4,1
440,4,4,2,0
273,2,10,2,0
865,9,5,3,1
95,1,3,1,0
580,9,26,4,1
146,0,1,2,0
147,5,0,2,0
879,8,19,6,1
909,7,5,2,1
156,1,0,2,0
40,2,8,1,0
148,8,4,8,1
352,0,3,0,0
289,3,3,3,0
196,1,0,6,0
43,1,1,0,0
29,0,2,0,0
414,3,26,10,1
200,3,2,0,0
108,1,3,2,0
59,1,3,2,0
243,10,23,7,1
223,2,0,0,0
233,0,3,2,0
340,2,9,8,1
250,4,19,5,1
994,2,10,6,1
891,3,10,7,1
407,10,10,3,1
179,0,1,2,0
161,6,22,3,1
32,0,2,1,0
278,2,3,0,0
155,5,9,2,0
122,4,0,4,0
333,3,5,4,1
794,2,6,9,1
349,3,6,10,1
326,1,2,0,0
28,0,0,2,0
39,1,2,0,0
681,7,22,1,1
80,3,1,6,0
857,2,25,0,1
296,10,0,10,1
497,1,8,1,0
351,4,27,2,1
119,2,9,6,1
268,5,5,6,1
466,2,1,0,0
136,4,16,10,1
277,2,1,2,0
848,2,1,4,1
353,2,4,2,0
